# Time: 2014-02-20 08:09:04
# Hour of Day (GLOW): 8.15111111111
# Hour of Day (DMSP): 8.15111111111
# Geographic Latitude: 79.9446182251
# Geographic Longitude: 73.5646972656
# Magnetic Latitude: 75.4594650269
# Magnetic Local Time: 13.5052032471
# LBH Short Radiance [R]: 878.121582031
# LBH Long Radiance [R]: 741.05456543
# SSJ Electron Energy Flux [mW/m^2]: 1.70902640355
# SSJ Ion Energy Flux [mW/m^2]: 0.0
# z,ped,hall,ionrate,O,O2,N2,NO,O+,O2+,NO+,N(2D),Ne(in),Ne(out),Tn,Ti,Te,3371A,4278A,5200A,5577A,6300A,7320A,10400A,3466A,7774A,8446A,3726A,LBH,1356,1493,1304
1.000000000000000000e+02,2.252750391562585719e-06,4.141799217904917896e-05,1.360146484375000000e+02,3.547967979520000000e+11,2.017099513856000000e+12,8.885806039040000000e+12,2.726257920000000000e+08,2.455174922943115234e-03,7.166894531250000000e+01,1.415641308593750000e+04,8.513770103454589844e+00,1.676902929687500000e+04,1.422809472656250000e+04,1.720597381591796875e+02,1.720597381591796875e+02,1.720597381591796875e+02,4.515282064676284790e-02,5.211708694696426392e-02,9.109735401580110192e-05,1.868769973516464233e-01,1.632264757063239813e-04,2.296030288562178612e-06,7.844594307243824005e-03,5.362127558328211308e-04,8.061311091296374798e-04,3.899160539731383324e-03,8.818829000389882822e-10,3.153627514839172363e-01,1.786057837307453156e-03,7.569130510091781616e-03,1.039712596684694290e-02
1.010000000000000000e+02,2.809402531056548469e-06,4.708774577011354268e-05,1.735783081054687500e+02,3.328908001280000000e+11,1.620112310272000000e+12,7.242863607808000000e+12,2.911395200000000000e+08,9.699778631329536438e-03,1.025611419677734375e+02,1.607563769531250000e+04,1.385249900817871094e+01,1.744212695312500000e+04,1.617824414062500000e+04,1.746096191406250000e+02,1.746096191406250000e+02,1.746096191406250000e+02,1.329216957092285156e-01,1.530758887529373169e-01,1.482217339798808098e-04,5.342644453048706055e-01,2.926805173046886921e-04,8.399090802413411438e-06,2.635118179023265839e-02,1.801220001652836800e-03,2.722734352573752403e-03,1.317189075052738190e-02,3.266691805947630201e-09,9.252379536628723145e-01,6.032272242009639740e-03,2.221088483929634094e-02,3.514635935425758362e-02
1.020000000000000000e+02,3.607259031923604198e-06,5.330822023097425699e-05,2.181371459960937500e+02,3.076586864640000000e+11,1.293355319296000000e+12,5.874440994816000000e+12,3.109104640000000000e+08,2.913857996463775635e-02,1.489824523925781250e+02,1.817657031250000000e+04,2.256226921081542969e+01,1.784852734375000000e+04,1.832567773437500000e+04,1.787773895263671875e+02,1.787773895263671875e+02,1.787773895263671875e+02,2.954485118389129639e-01,3.393285870552062988e-01,2.414163027424365282e-04,1.214414596557617188e+00,5.385408876463770866e-04,2.332076292077545077e-05,6.712204962968826294e-02,4.588089417666196823e-03,6.869719829410314560e-03,3.324012458324432373e-02,9.187180793901461584e-09,2.048494338989257812e+00,1.521951891481876373e-02,4.919958487153053284e-02,8.875418454408645630e-02
1.030000000000000000e+02,4.708298547484446317e-06,5.977803084533661604e-05,2.674888305664062500e+02,2.810381271040000000e+11,1.028717019136000000e+12,4.751988621312000000e+12,3.320240640000000000e+08,6.821748614311218262e-02,1.984995422363281250e+02,2.037466210937500000e+04,3.593125915527343750e+01,1.805103320312500000e+04,2.057342968750000000e+04,1.845162506103515625e+02,1.845162506103515625e+02,1.845162506103515625e+02,5.097121000289916992e-01,5.835723876953125000e-01,3.844644234050065279e-04,2.176134109497070312e+00,9.538970771245658398e-04,5.040026007918640971e-05,1.329933106899261475e-01,9.090682491660118103e-03,1.332436129450798035e-02,6.448401510715484619e-02,2.011464594886547275e-08,3.518179178237915039e+00,2.951852232217788696e-02,8.454687148332595825e-02,1.722968667745590210e-01
1.040000000000000000e+02,6.101148301240755245e-06,6.533433770528063178e-05,3.103093872070312500e+02,2.544589045760000000e+11,8.169472655360000000e+11,3.841453195264000000e+12,3.453669760000000000e+08,1.302999258041381836e-01,2.389166107177734375e+02,2.229184570312500000e+04,5.375134277343750000e+01,1.812120703125000000e+04,2.253123632812500000e+04,1.918166656494140625e+02,1.918166656494140625e+02,1.918166656494140625e+02,7.163724303245544434e-01,8.172253966331481934e-01,5.751392454840242863e-04,3.182841300964355469e+00,1.544772414490580559e-03,8.879849337972700596e-05,2.148025482892990112e-01,1.468270644545555115e-02,2.086874283850193024e-02,1.010130420327186584e-01,3.590506381101477018e-08,4.919332981109619141e+00,4.623075947165489197e-02,1.182901710271835327e-01,2.700828909873962402e-01
1.050000000000000000e+02,7.836471013433765620e-06,6.994581053731963038e-05,3.445402526855468750e+02,2.289020928000000000e+11,6.489644072960000000e+11,3.108618633216000000e+12,3.545396800000000000e+08,2.144767791032791138e-01,2.599665222167968750e+02,2.394073828125000000e+04,7.603449249267578125e+01,1.813017382812500000e+04,2.420142773437500000e+04,2.006861267089843750e+02,2.006861267089843750e+02,2.006861267089843750e+02,8.683155179023742676e-01,9.865322709083557129e-01,8.135688840411603451e-04,4.016689300537109375e+00,2.306103706359863281e-03,1.347783836536109447e-04,2.988979816436767578e-01,2.043100073933601379e-02,2.795857563614845276e-02,1.353483796119689941e-01,5.521052059975772863e-08,5.928552627563476562e+00,6.193512678146362305e-02,1.426400840282440186e-01,3.621143698692321777e-01
1.060000000000000000e+02,9.998183486459311098e-06,7.390380778815597296e-05,3.723787841796875000e+02,2.049909719040000000e+11,5.165424312320000000e+11,2.522007732224000000e+12,3.639552960000000000e+08,3.188165128231048584e-01,2.601869201660156250e+02,2.544217578125000000e+04,1.033101577758789062e+02,1.803102343750000000e+04,2.570335937500000000e+04,2.111266632080078125e+02,2.111266632080078125e+02,2.111266632080078125e+02,9.531621932983398438e-01,1.078046441078186035e+00,1.105419010855257511e-03,4.601661682128906250e+00,3.303413279354572296e-03,1.847537496360018849e-04,3.757056593894958496e-01,2.568114548921585083e-02,3.366212546825408936e-02,1.629707515239715576e-01,7.666173473808157723e-08,6.466491699218750000e+00,7.456785440444946289e-02,1.556648015975952148e-01,4.362590909004211426e-01
1.070000000000000000e+02,1.259185410162899643e-05,7.690773782087489963e-05,3.910415954589843750e+02,1.830865469440000000e+11,4.126025973760000000e+11,2.054189744128000000e+12,3.695309440000000000e+08,4.415875971317291260e-01,2.483686065673828125e+02,2.670817773437500000e+04,1.349470367431640625e+02,1.775924414062500000e+04,2.695783203125000000e+04,2.231048431396484375e+02,2.231048431396484375e+02,2.231048431396484375e+02,9.795700907707214355e-01,1.102475881576538086e+00,1.443933346308767796e-03,4.949975490570068359e+00,5.006756633520126343e-03,2.361042425036430359e-04,4.405961632728576660e-01,3.011669963598251343e-02,3.766900300979614258e-02,1.823711842298507690e-01,9.921070898144535022e-08,6.599251747131347656e+00,8.344161510467529297e-02,1.589372158050537109e-01,4.884344339370727539e-01
1.080000000000000000e+02,1.554958362248726189e-05,7.856547017581760883e-05,3.975142822265625000e+02,1.633694023680000000e+11,3.312593141760000000e+11,1.682096652288000000e+12,3.670099840000000000e+08,5.805946588516235352e-01,2.326018676757812500e+02,2.762198632812500000e+04,1.692405090332031250e+02,1.735063085937500000e+04,2.785616601562500000e+04,2.365114593505859375e+02,2.365114593505859375e+02,2.365114593505859375e+02,9.620519280433654785e-01,1.077085971832275391e+00,1.810873160138726234e-03,5.102991580963134766e+00,9.399653412401676178e-03,2.867073053494095802e-04,4.917225241661071777e-01,3.361141309142112732e-02,4.000638052821159363e-02,1.936806589365005493e-01,1.219572283162051463e-07,6.432061195373535156e+00,8.861679583787918091e-02,1.549803167581558228e-01,5.189645290374755859e-01
1.090000000000000000e+02,1.894829074444714934e-05,7.951526640681549907e-05,3.999809265136718750e+02,1.459041894400000000e+11,2.677377925120000000e+11,1.386803494912000000e+12,3.645068800000000000e+08,7.323704957962036133e-01,2.116245422363281250e+02,2.844229101562500000e+04,2.077164154052734375e+02,1.683752929687500000e+04,2.865578125000000000e+04,2.511071777343750000e+02,2.511071777343750000e+02,2.511071777343750000e+02,9.145867824554443359e-01,1.018343806266784668e+00,2.222565235570073128e-03,5.148413658142089844e+00,2.174334414303302765e-02,3.345939330756664276e-04,5.282202959060668945e-01,3.610619902610778809e-02,4.086342453956604004e-02,1.978187561035156250e-01,1.440166528254849254e-07,6.065029144287109375e+00,9.051256626844406128e-02,1.462005227804183960e-01,5.302988886833190918e-01
